LOAD_START

LOAD_SIZE
	120 120
END_SIZE

LOAD_FIELD
	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.55 0.96 1.10 1.23 1.51 1.78 1.78 1.92 2.19 2.33 3.84 3.29 3.15 3.29 3.15 2.88 3.29 3.29 3.29 3.01 3.01 1.78 1.92 1.78 2.05 5.21 5.75 5.62 5.48 7.81 9.32 9.32 6.30 6.03 5.89 6.30 4.25 2.74 2.60 3.43 3.97 4.38 4.93 5.48 5.48 5.34 5.07 4.66 4.66 3.70 3.01 2.60 2.47 1.64 1.23 0.55 0.55 0.41 0.69 0.69 2.05 2.05 2.05 2.19 2.05 1.78 2.05 0.69 0.69 0.69 0.41 0.41 0.41 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.26 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.26 0.00 
	0.00 0.77 0.77 1.02 1.02 1.02 1.02 1.02 1.02 1.02 1.07 1.07 1.07 1.07 0.30 0.85 1.15 1.42 1.69 2.10 4.43 5.26 5.67 6.49 6.76 8.41 7.86 7.86 8.13 8.27 8.82 9.23 8.68 8.96 8.82 8.54 7.17 6.90 5.80 5.94 9.78 9.23 8.41 8.82 11.56 12.93 14.30 9.78 9.09 8.54 8.41 7.04 5.53 4.16 7.86 8.82 9.37 9.78 9.37 9.37 9.37 6.76 6.22 6.08 5.39 4.85 4.71 4.30 3.06 2.79 2.52 2.24 1.83 1.83 1.83 3.06 2.79 2.38 2.65 2.52 2.24 2.93 1.56 1.42 1.42 1.28 1.42 1.42 0.46 0.46 0.46 0.46 0.19 0.05 0.05 0.05 0.32 0.74 0.74 0.74 0.74 0.74 0.74 1.23 2.61 2.61 2.86 3.12 3.12 3.12 3.12 3.07 3.07 3.07 3.07 3.07 2.30 0.51 0.51 0.26 0.00 
	0.00 1.28 3.07 3.33 3.33 3.33 3.33 3.33 3.33 3.33 3.38 3.38 3.38 3.38 2.10 0.85 1.15 1.42 1.69 2.65 5.26 6.76 7.31 8.27 8.68 10.60 10.19 10.19 10.33 10.33 10.19 10.19 8.96 9.09 8.96 8.96 7.72 8.13 7.86 8.41 12.65 12.38 11.42 11.56 13.75 16.35 17.72 13.89 14.44 14.30 14.44 13.89 10.60 8.82 11.56 11.56 12.38 13.48 12.24 11.97 12.65 9.91 9.23 8.82 8.13 8.96 9.23 8.82 8.13 8.82 9.37 8.13 6.35 5.94 5.26 6.35 4.98 3.48 3.89 4.16 4.57 5.39 3.89 3.75 3.89 3.75 4.02 3.34 2.24 1.97 1.69 1.28 1.01 0.32 0.32 0.32 1.01 1.69 1.83 1.69 1.56 1.56 1.56 1.64 3.26 3.12 3.38 3.63 3.63 3.63 3.63 3.58 3.58 3.58 3.58 3.58 2.82 0.51 0.51 0.26 0.00 
	0.00 1.54 3.58 4.10 4.10 4.10 4.10 4.10 4.10 4.10 4.14 4.14 4.14 4.14 2.61 1.11 1.15 1.42 1.69 2.79 5.67 7.45 8.41 9.50 10.05 12.11 11.56 11.28 11.28 11.01 10.74 10.87 9.78 9.91 10.19 10.33 9.78 10.60 10.46 10.74 14.85 14.16 13.07 12.65 14.44 16.76 18.00 14.16 15.81 15.53 15.94 17.59 16.35 14.71 17.86 17.45 18.68 19.50 16.63 14.57 15.26 12.52 11.28 11.70 11.28 12.52 12.65 12.24 11.15 11.70 11.42 10.87 8.96 9.23 9.64 11.42 10.19 8.27 7.59 7.04 6.90 6.63 4.43 4.16 4.30 4.16 4.85 4.16 2.93 2.65 2.38 1.97 1.97 1.42 1.15 1.15 1.97 2.65 3.20 2.79 2.10 2.10 2.10 2.05 5.45 5.16 5.92 6.44 6.44 6.44 6.44 4.61 4.61 4.61 4.61 4.61 3.84 1.54 1.28 0.51 0.00 
	0.00 1.79 3.84 4.86 4.86 4.86 4.86 4.86 4.86 4.86 4.91 4.91 4.91 4.91 3.12 1.62 1.15 1.42 2.52 3.89 6.76 8.54 9.64 10.87 11.56 12.79 12.11 11.97 11.97 11.97 11.83 12.11 11.01 11.01 12.38 12.65 11.83 12.52 12.24 12.52 16.63 14.85 13.61 13.48 15.67 18.54 20.05 16.08 18.27 19.23 20.05 21.28 19.64 19.50 23.34 22.24 22.11 22.38 19.64 18.13 17.45 14.30 13.20 14.16 14.44 17.72 17.45 16.63 15.26 16.08 15.26 13.89 10.05 10.19 11.15 13.34 12.38 10.87 10.60 9.78 9.64 8.82 6.22 6.22 8.00 8.27 9.37 9.64 9.91 10.60 9.37 7.17 6.49 5.53 4.43 3.06 3.34 4.16 4.71 4.71 4.02 3.89 4.30 4.38 7.92 7.35 7.57 8.60 9.42 8.87 8.32 6.08 6.08 6.08 6.08 5.12 4.35 2.05 1.79 1.02 0.00 
	0.00 2.05 4.10 5.12 5.12 5.12 5.12 5.12 5.12 5.12 5.17 5.17 5.17 5.17 3.12 1.62 1.15 1.42 2.93 4.30 7.17 8.96 10.19 12.52 13.34 14.30 13.61 13.48 13.48 13.48 13.34 13.48 12.24 12.52 13.07 16.49 15.67 16.35 16.08 16.35 20.05 18.00 13.61 13.48 15.67 18.68 20.74 16.76 18.96 19.91 20.74 21.97 20.74 20.05 23.89 22.79 22.65 22.93 20.19 18.27 17.59 14.44 13.34 14.30 14.71 18.13 17.86 17.31 16.49 17.45 16.63 15.12 11.15 11.28 12.38 14.02 13.61 12.11 11.83 11.28 11.70 11.01 9.23 9.50 12.38 12.79 13.61 13.34 13.89 14.02 12.38 9.78 9.64 9.23 9.23 8.13 8.96 9.78 10.60 10.87 11.42 10.74 10.05 11.23 14.35 12.83 12.91 12.93 13.20 12.65 10.19 7.81 7.81 6.99 6.99 5.89 5.12 2.82 2.56 1.79 0.00 
